Tarih(yil_ay);Saat;YukTahminPlan(MWh);PTF(TL/MWh);SMF(TL/MWh);KGUP(MWh);YAL0(MWh);YAL1(MWh);YAT0(MWh);YAT1(MWh);YAL TeslimEdilemeyenMiktar(MWh);YAT TeslimEdilemeyenMiktar(MWh);PFK Fiyat;SFK Fiyat;Column1
201802;0;32100;19699;19800;2829348;1463117;0;44917;0;354617;731;3990;4789;
201802;1;29900;19698;19698;2639165;1218617;0;0;0;157900;0;3990;4789;
201802;2;28900;13000;14628;2518268;1104067;0;0;0;312263;0;3990;4789;
201802;3;28200;12999;14789;2444231;1277000;0;0;0;371038;0;3990;4789;
201802;4;28100;13000;14790;2425631;1277000;0;0;0;364462;0;3990;6200;
201802;5;28500;16700;16710;2446893;2705000;0;0;0;1714020;0;3990;6200;
201802;6;29700;18222;18232;2565697;2764000;0;0;0;1410402;0;3990;6200;
201802;7;32200;18500;19000;2755046;2543066;0;0;0;745301;0;3990;6200;
201802;8;36500;18484;19917;3157092;1271233;0;0;0;187891;0;5701;6027;
201802;9;38100;21501;23129;3367638;2552367;0;14000;0;1081680;0;5701;6027;
201802;10;38100;20318;21818;3384887;1224500;0;0;0;238468;0;5701;6027;
201802;11;38400;18485;19985;3396203;1291399;0;61067;0;244090;1400;5701;6027;
201802;12;35800;15969;16700;3229702;413333;0;33333;0;140900;0;4600;4789;
201802;13;35800;12899;12777;3108356;0;0;660850;0;0;136000;4600;4789;
201802;14;36300;17800;14753;3224359;0;0;601000;0;0;144800;4600;4789;
201802;15;36100;19005;15953;3233941;0;0;726000;0;0;169989;4600;4789;
201802;16;36600;20479;17453;3295855;0;0;830000;0;0;131406;4600;4789;
201802;17;37400;20399;17353;3380000;0;0;657650;0;0;130346;4600;4789;
201802;18;38400;20399;17500;3429762;0;0;550984;0;0;130330;4600;4789;
201802;19;38300;20229;20300;3387907;506748;0;0;0;257676;0;4600;4789;
201802;20;37500;19587;19700;3291781;951000;0;0;0;300700;0;4190;4189;
201802;21;36500;16141;16540;3187709;416000;0;0;0;278352;0;4190;4189;
201802;22;35700;17799;17799;3140587;818000;0;0;0;233910;0;4190;4189;
201802;23;34100;17999;17999;3044548;1172000;0;143534;0;32000;2422;4190;4189;
201802;0;31600;21679;21679;3004879;901034;0;425367;0;29210;0;3951;4501;
201802;1;30200;21000;21000;2784242;371917;0;0;0;86560;0;3951;4501;
201802;2;28900;19650;19650;2641306;24700;0;143883;0;10360;17517;3951;4501;
201802;3;28300;19649;19649;2574438;;;;;;;3951;4501;
201802;4;28200;15200;15200;2560172;;;;;;;3951;5505;
201802;5;28300;14510;14510;2573714;;;;;;;3951;5505;
201802;6;29000;17199;17199;2619567;;;;;;;3951;5505;
201802;7;30500;17465;17465;2698158;158500;0;0;0;38654;0;3951;5505;
201802;8;33100;17199;13770;2954601;502049;0;829368;0;231966;13966;5499;6479;
201802;9;35400;18500;20128;3182014;1328650;0;30600;0;243870;500;5499;6479;
201802;10;36000;18999;20417;3290271;1005900;0;82183;0;245418;0;5499;6479;
201802;11;36400;20220;21917;3351053;1362265;0;178200;0;231030;0;5499;6479;
201802;12;35100;20479;20500;3219249;865000;0;0;0;144060;0;4590;5529;
201802;13;35100;18500;18510;3208232;1009000;0;0;0;332980;0;4590;5529;
201802;14;35100;16998;18200;3189507;937000;0;0;0;190910;0;4590;5529;
201802;15;34800;15650;17000;3152372;613000;0;0;0;137750;0;4590;5529;
201802;16;34800;17005;18200;3138054;1278050;0;0;0;538230;0;4590;4880;
201802;17;34800;14900;16417;3172167;994167;0;271167;0;186290;1469;4590;4880;
201802;18;36000;17730;17730;3299912;1150284;0;95000;0;823194;0;4590;4880;
201802;19;35900;18499;18500;3314704;2033433;0;12500;0;1474746;0;4590;4880;
201802;20;35100;20499;20499;3224679;1850766;0;31000;0;800146;0;4179;7000;
201802;21;34300;16700;16700;3142573;233334;0;0;0;130303;0;4179;7000;
201802;22;33900;16999;16999;3082031;;;;;;;4179;7000;
201802;23;33100;12899;13400;2970215;425233;0;122650;0;149599;31750;4179;7000;
201802;0;31000;16824;12000;2844985;331301;0;1027331;0;190900;246201;3700;10700;
201802;1;29200;16823;14800;2637746;0;0;464416;0;0;121820;3700;10700;
201802;2;27800;12395;10400;2512086;0;0;388000;0;0;116970;3700;10700;
201802;3;26900;12396;11002;2432131;0;0;513000;0;0;179910;3700;10700;
201802;4;26500;12500;10500;2374604;0;0;513000;0;0;149720;3800;12000;
201802;5;26400;11502;9500;2381111;0;0;461000;0;0;83370;3800;12000;
201802;6;26500;12899;10002;2387419;0;0;562817;0;0;197586;3800;12000;
201802;7;26300;11869;5000;2391299;0;0;1131566;0;0;348441;3800;12000;
201802;8;26400;2999;0;2423814;0;0;2161666;14567;0;579960;4200;11500;
201802;9;27700;2999;1;2484809;0;0;1679414;190134;0;332337;4200;11500;
201802;10;29100;11869;7500;2561407;0;0;1151783;0;0;110179;4200;11500;
201802;11;30100;11869;11300;2656220;0;0;584451;0;0;73115;4200;11500;
201802;12;30200;8998;3510;2648516;0;0;1565785;0;0;416077;5000;11959;
201802;13;30500;12395;11200;2664169;0;0;844151;0;0;36561;5000;11959;
201802;14;30500;12501;11300;2634043;0;0;709583;0;0;65876;5000;11959;
201802;15;30500;14900;11853;2632438;0;0;706416;0;0;185464;5000;11959;
201802;16;30900;12500;12500;2718661;0;0;250000;0;0;64740;4500;9424;
201802;17;31600;12501;12501;2840086;66600;0;87083;0;25377;2130;4500;9424;
201802;18;33700;21000;21000;2924242;324432;0;0;0;142326;0;4500;9424;
201802;19;34300;21500;21500;2974178;742000;0;0;0;151000;0;4500;9424;
201802;20;33900;21536;21600;2919616;1431232;0;0;0;76096;0;4500;9000;
201802;21;33100;21546;21600;2836528;1732000;0;0;0;260360;0;4500;9000;
201802;22;32700;21480;22917;2826439;1941866;0;78866;0;287594;1200;4500;9000;
201802;23;31500;19611;21417;2711561;1779033;0;55367;0;126806;0;4500;9000;
201802;0;29800;20790;20790;2614760;573386;0;259416;0;91877;44695;4099;8000;
201802;1;27800;17799;18200;2456393;699801;0;178932;0;126811;45292;4099;8000;
201802;2;26800;12896;12896;2372991;109934;0;35700;0;104867;3700;4099;8000;
201802;3;26100;12895;12895;2340596;290000;0;0;0;233400;0;4099;8000;
201802;4;25900;12501;12501;2332308;110016;0;0;0;68233;0;4099;7500;
201802;5;26300;12899;12899;2348469;50966;0;0;0;16012;0;4099;7500;
201802;6;27800;17310;18200;2451455;2297000;0;0;0;1375721;0;4099;7500;
201802;7;30700;17796;19218;2698834;2400434;0;0;0;1125162;0;4099;7500;
201802;8;35600;17475;19475;3180508;1769899;0;106667;0;241566;0;4800;6000;
201802;9;38500;21499;23300;3412445;1806000;0;87500;0;396424;0;4800;6000;
